Date,units,demand,epidemic,seasonality,promotion,discount,price,competitor_price,inventory
2022-01-01,8601,10060,0,Winter,0.15,6.45,68.669,70.85,19383
2022-01-02,7684,10814,0,Winter,0.2,7.35,70.3806,72.4986,12385
2022-01-03,5965,11317,0,Winter,0.35,9.15,69.791,72.1262,10356
2022-01-04,7859,11469,0,Winter,0.45,10.3,69.8443,72.0545,18071
2022-01-05,9621,11724,0,Winter,0.7,14.35,66.819,68.6097,27152
2022-01-06,9503,10938,0,Winter,0.25,7.5,69.6041,72.1883,33795
2022-01-07,10045,11584,0,Winter,0.4,10.0,69.4957,71.94,33357
2022-01-08,9980,12060,0,Winter,0.6,12.55,69.1135,71.3043,33295
2022-01-09,9661,11427,0,Winter,0.15,7.75,70.9526,72.8224,31253
2022-01-10,9928,11523,0,Winter,0.3,8.85,70.6175,72.7296,31528
2022-01-11,9957,12104,0,Winter,0.4,10.0,70.5719,73.325,31511
2022-01-12,9279,11019,0,Winter,0.4,10.3,67.69409999999999,68.3386,30213
2022-01-13,9904,10990,0,Winter,0.4,10.8,68.9118,68.7057,33647
2022-01-14,9507,11399,0,Winter,0.3,9.0,69.9782,70.4785,32696
2022-01-15,9566,11436,0,Winter,0.3,9.35,69.44319999999999,71.9272,35544
2022-01-16,9218,10629,0,Winter,0.35,9.3,68.145,69.9645,35096
2022-01-17,10074,12036,0,Winter,0.45,9.95,68.60340000000001,72.5269,36996
2022-01-18,9444,10651,0,Winter,0.45,10.5,66.4447,68.1416,35068
2022-01-19,8689,10878,0,Winter,0.25,7.6,69.7004,69.93,32049
2022-01-20,9489,10822,0,Winter,0.4,10.25,67.6643,69.7761,34501
2022-01-21,9905,11327,0,Winter,0.35,9.5,69.4982,70.8272,30812
2022-01-22,9908,12024,0,Winter,0.5,10.95,69.67020000000001,72.8343,30736
2022-01-23,8721,10515,0,Winter,0.35,8.85,68.2001,71.476,30700
2022-01-24,8822,10570,0,Winter,0.4,10.25,68.1333,69.6164,28804
2022-01-25,8434,9818,0,Winter,0.25,7.65,67.6211,69.65230000000001,30217
2022-01-26,9271,10584,0,Winter,0.35,9.2,68.33099999999999,69.1629,33946
2022-01-27,9276,10659,0,Winter,0.35,9.25,67.7539,70.7663,34945
2022-01-28,8945,10522,0,Winter,0.2,7.25,69.3845,70.1852,30835
2022-01-29,9655,11064,0,Winter,0.0,4.85,73.4969,74.5219,28841
2022-01-30,7992,9553,0,Winter,0.0,5.25,69.2889,71.3749,28792
2022-01-31,8592,10028,0,Winter,0.0,5.3,70.4056,71.8819,31220
2022-02-01,9599,10791,0,Winter,0.5,10.85,67.2877,67.5624,32532
2022-02-02,10746,12698,0,Winter,0.5,11.7,69.8447,73.7854,31592
2022-02-03,10531,12779,0,Winter,0.6,13.05,69.5168,71.77770000000001,28180
2022-02-04,9757,11363,0,Winter,0.2,7.1,71.9925,73.4345,28688
2022-02-05,10085,11914,0,Winter,0.35,9.75,70.1754,71.9779,28893
2022-02-06,9298,11354,0,Winter,0.25,8.6,69.1753,71.0034,35141
2022-02-07,9472,11024,0,Winter,0.35,9.4,69.5394,70.9279,37739
2022-02-08,10074,11473,0,Winter,0.4,10.05,68.9663,70.3654,34732
2022-02-09,10699,12391,0,Winter,0.3,8.8,72.1205,73.304,34123
2022-02-10,9761,11510,0,Winter,0.3,8.85,70.4389,71.7321,34083
2022-02-11,9615,11491,0,Winter,0.15,6.8,72.3982,73.72980000000001,31455
2022-02-12,9918,12058,0,Winter,0.3,9.2,71.7607,72.9818,30529
2022-02-13,8646,10607,0,Winter,0.4,10.05,67.4893,70.5194,31186
2022-02-14,10173,12494,0,Winter,0.65,13.7,68.6997,70.19069999999999,35158
2022-02-15,9453,10727,0,Winter,0.45,10.65,67.5771,67.66329999999999,34876
2022-02-16,9800,11804,0,Winter,0.35,9.55,71.58970000000001,73.3111,34169
2022-02-17,9428,10857,0,Winter,0.3,8.55,69.7809,73.07390000000001,33924
2022-02-18,10017,11757,0,Winter,0.2,7.45,72.8206,74.9314,34061
2022-02-19,10253,11873,0,Winter,0.3,8.2,71.4497,73.9267,33834
2022-02-20,9483,11170,0,Winter,0.4,8.9,69.564,70.4864,31941
2022-02-21,9242,10619,0,Winter,0.4,10.15,68.3453,69.1324,32379
2022-02-22,8861,10973,0,Winter,0.2,8.15,70.0736,72.42190000000001,31870
2022-02-23,9999,11769,0,Winter,0.4,9.55,70.1432,71.4637,29240
2022-02-24,8940,10232,0,Winter,0.4,9.5,67.5412,68.6871,30867
2022-02-25,8900,10152,0,Winter,0.25,8.0,69.1752,71.1474,29075
2022-02-26,9367,10514,0,Winter,0.25,8.1,69.17699999999999,70.5305,30630
2022-02-27,10040,12841,0,Winter,0.55,12.25,69.7875,72.1926,31154
2022-02-28,8951,10648,0,Winter,0.3,8.75,69.094,70.6271,29612
