Date,actual,epidemic_actual,split,baseline,model_ep0,model_ep1,model_ep_actual
2022-01-01,8601.0,0.0,train,,,,
2022-01-02,7684.0,0.0,train,,,,
2022-01-03,5965.0,0.0,train,,,,
2022-01-04,7859.0,0.0,train,,,,
2022-01-05,9621.0,0.0,train,,,,
2022-01-06,9503.0,0.0,train,,,,
2022-01-07,10045.0,0.0,train,,,,
2022-01-08,9980.0,0.0,train,,,,
2022-01-09,9661.0,0.0,train,,,,
2022-01-10,9928.0,0.0,train,,,,
2022-01-11,9957.0,0.0,train,,,,
2022-01-12,9279.0,0.0,train,,,,
2022-01-13,9904.0,0.0,train,,,,
2022-01-14,9507.0,0.0,train,,,,
2022-01-15,9566.0,0.0,train,,,,
2022-01-16,9218.0,0.0,train,,,,
2022-01-17,10074.0,0.0,train,,,,
2022-01-18,9444.0,0.0,train,,,,
2022-01-19,8689.0,0.0,train,,,,
2022-01-20,9489.0,0.0,train,,,,
2022-01-21,9905.0,0.0,train,,,,
2022-01-22,9908.0,0.0,train,,,,
2022-01-23,8721.0,0.0,train,,,,
2022-01-24,8822.0,0.0,train,,,,
2022-01-25,8434.0,0.0,train,,,,
2022-01-26,9271.0,0.0,train,,,,
2022-01-27,9276.0,0.0,train,,,,
2022-01-28,8945.0,0.0,train,,,,
2022-01-29,9655.0,0.0,train,,,,
2022-01-30,7992.0,0.0,train,,,,
2022-01-31,8592.0,0.0,train,,,,
2022-02-01,9599.0,0.0,train,,,,
2022-02-02,10746.0,0.0,train,,,,
2022-02-03,10531.0,0.0,train,,,,
2022-02-04,9757.0,0.0,train,,,,
2022-02-05,10085.0,0.0,train,,,,
2022-02-06,9298.0,0.0,train,,,,
2022-02-07,9472.0,0.0,train,,,,
2022-02-08,10074.0,0.0,train,,,,
2022-02-09,10699.0,0.0,train,,,,
2022-02-10,9761.0,0.0,train,,,,
2022-02-11,9615.0,0.0,train,,,,
2022-02-12,9918.0,0.0,train,,,,
2022-02-13,8646.0,0.0,train,,,,
2022-02-14,10173.0,0.0,train,,,,
2022-02-15,9453.0,0.0,train,,,,
2022-02-16,9800.0,0.0,train,,,,
