Date,product_id,split,actual,baseline,model_ep0
2024-01-03,P0007,val,294.0,461.9642857142857,527.2170293574333
2024-01-04,P0007,val,416.0,461.9642857142857,525.7470422973317
2024-01-05,P0007,val,245.0,461.9642857142857,545.3860876085603
2024-01-06,P0007,val,308.0,461.9642857142857,536.1959506967929
2024-01-07,P0007,val,230.0,461.9642857142857,557.0588343840632
2024-01-08,P0007,val,262.0,461.9642857142857,524.1940370481057
2024-01-09,P0007,val,427.0,461.9642857142857,535.5819321340502
2024-01-10,P0007,val,534.0,461.9642857142857,531.9176572052605
2024-01-11,P0007,val,365.0,461.9642857142857,530.3123461468834
2024-01-12,P0007,val,578.0,461.9642857142857,549.8108946887547
2024-01-13,P0007,val,586.0,461.9642857142857,540.4752503088525
2024-01-14,P0007,val,622.0,461.9642857142857,561.1877837650661
2024-01-15,P0007,val,462.0,461.9642857142857,528.1679670370394
2024-01-16,P0007,val,731.0,461.9642857142857,539.3963526336814
2024-01-17,P0007,val,382.0,461.9642857142857,535.5682624333748
2024-01-18,P0007,val,333.0,461.9642857142857,533.7950196706993
2024-01-19,P0007,val,294.0,461.9642857142857,553.1217142365704
2024-01-20,P0007,val,461.0,461.9642857142857,543.6104923532497
2024-01-21,P0007,val,414.0,461.9642857142857,564.1439278722629
2024-01-22,P0007,val,332.0,461.9642857142857,530.9416999772611
2024-01-23,P0007,val,283.0,461.9642857142857,541.9845722477031
2024-01-24,P0007,val,362.0,461.9642857142857,537.9680812506721
2024-01-25,P0007,val,579.0,461.9642857142857,536.0037682749448
2024-01-26,P0007,val,395.0,461.9642857142857,555.1369443745048
2024-01-27,P0007,val,542.0,461.9642857142857,545.429979783264
2024-01-28,P0007,val,339.0,461.9642857142857,565.7656749493349
2024-01-29,P0007,val,502.0,461.9642857142857,532.3639379712012
2024-01-30,P0007,val,450.0,461.9642857142857,543.2057633919779
2024-01-31,P0007,future,,418.85714285714283,526.0032887945321
2024-02-01,P0007,future,,418.85714285714283,525.2142651020312
2024-02-02,P0007,future,,418.85714285714283,541.9016754705585
2024-02-03,P0007,future,,418.85714285714283,536.1520702900268
2024-02-04,P0007,future,,418.85714285714283,553.0330622921692
2024-02-05,P0007,future,,418.85714285714283,520.4224777908067
2024-02-06,P0007,future,,418.85714285714283,531.7680155170905
2024-02-07,P0007,future,,418.85714285714283,526.6907204211765
2024-02-08,P0007,future,,418.85714285714283,525.7484427772945
2024-02-09,P0007,future,,418.85714285714283,542.2826180187174
2024-02-10,P0007,future,,418.85714285714283,536.3799750238578
2024-02-11,P0007,future,,418.85714285714283,553.1083045876044
2024-02-12,P0007,future,,418.85714285714283,520.3456104517464
2024-02-13,P0007,future,,418.85714285714283,531.5397679311815
2024-02-14,P0007,future,,418.85714285714283,526.3119975076099
2024-02-15,P0007,future,,418.85714285714283,525.2203237279256
2024-02-16,P0007,future,,418.85714285714283,541.6063548340526
2024-02-17,P0007,future,,418.85714285714283,535.5569908456968
2024-02-18,P0007,future,,418.85714285714283,552.1401918303662
2024-02-19,P0007,future,,418.85714285714283,519.2341287347455
2024-02-20,P0007,future,,418.85714285714283,530.2868418143539
2024-02-21,P0007,future,,418.85714285714283,524.9197140334259
2024-02-22,P0007,future,,418.85714285714283,523.690929772449
2024-02-23,P0007,future,,418.85714285714283,539.9422542703362
2024-02-24,P0007,future,,418.85714285714283,533.7607415229238
2024-02-25,P0007,future,,418.85714285714283,550.2145023723638
2024-02-26,P0007,future,,418.85714285714283,517.1818551617121
2024-02-27,P0007,future,,418.85714285714283,528.1109839918507
2024-01-03,P0004,val,314.0,484.89285714285717,504.3649990643572
2024-01-04,P0004,val,143.0,484.89285714285717,495.8976435606918
2024-01-05,P0004,val,379.0,484.89285714285717,488.6486052094509
2024-01-06,P0004,val,312.0,484.89285714285717,494.4355263250478
2024-01-07,P0004,val,415.0,484.89285714285717,490.8519890402785
2024-01-08,P0004,val,306.0,484.89285714285717,497.7345399038647
2024-01-09,P0004,val,396.0,484.89285714285717,484.8388475844366
2024-01-10,P0004,val,473.0,484.89285714285717,507.4195955787911
2024-01-11,P0004,val,668.0,484.89285714285717,498.94807527950275
2024-01-12,P0004,val,564.0,484.89285714285717,491.6930321737604
2024-01-13,P0004,val,479.0,484.89285714285717,497.4722411676398
2024-01-14,P0004,val,660.0,484.89285714285717,493.8794184453589
2024-01-15,P0004,val,587.0,484.89285714285717,500.75124587119353
2024-01-16,P0004,val,531.0,484.89285714285717,487.8435284965142
2024-01-17,P0004,val,493.0,484.89285714285717,510.41108707002223
2024-01-18,P0004,val,676.0,484.89285714285717,501.9253509065102
2024-01-19,P0004,val,519.0,484.89285714285717,494.6552038862617
2024-01-20,P0004,val,706.0,484.89285714285717,500.4185595795524
2024-01-21,P0004,val,628.0,484.89285714285717,496.8092729060422
2024-01-22,P0004,val,682.0,484.89285714285717,503.6641643369853
2024-01-23,P0004,val,433.0,484.89285714285717,490.7391772029654
2024-01-24,P0004,val,526.0,484.89285714285717,513.2892700054801
2024-01-25,P0004,val,526.0,484.89285714285717,504.7860090879459
2024-01-26,P0004,val,561.0,484.89285714285717,497.4984144384822
2024-01-27,P0004,val,544.0,484.89285714285717,503.2445346191796
2024-01-28,P0004,val,439.0,484.89285714285717,499.6183582318836
2024-01-29,P0004,val,443.0,484.89285714285717,506.45683792865896
2024-01-30,P0004,val,502.0,484.89285714285717,493.5160475298805
2024-01-31,P0004,future,,496.60714285714283,520.7100373541116
2024-02-01,P0004,future,,496.60714285714283,514.2774081966558
2024-02-02,P0004,future,,496.60714285714283,507.2464078606741
2024-02-03,P0004,future,,496.60714285714283,512.7674368737315
2024-02-04,P0004,future,,496.60714285714283,510.06790480622254
2024-02-05,P0004,future,,496.60714285714283,515.3699727739775
2024-02-06,P0004,future,,496.60714285714283,499.62491431036597
2024-02-07,P0004,future,,496.60714285714283,522.6337907759959
2024-02-08,P0004,future,,496.60714285714283,516.1748961805949
2024-02-09,P0004,future,,496.60714285714283,509.1199559067377
2024-02-10,P0004,future,,496.60714285714283,514.6194940158668
2024-02-11,P0004,future,,496.60714285714283,511.9010393327361
2024-02-12,P0004,future,,496.60714285714283,517.1868677791074
2024-02-13,P0004,future,,496.60714285714283,501.42836308262696
2024-02-14,P0004,future,,496.60714285714283,524.4266920291809
2024-02-15,P0004,future,,496.60714285714283,517.96024913351
2024-02-16,P0004,future,,496.60714285714283,510.90085521793367
2024-02-17,P0004,future,,496.60714285714283,516.399124579814
2024-02-18,P0004,future,,496.60714285714283,513.6826709440538
2024-02-19,P0004,future,,496.60714285714283,518.9738496716296
2024-02-20,P0004,future,,496.60714285714283,503.2241183502374
2024-02-21,P0004,future,,496.60714285714283,526.2347119354978
2024-02-22,P0004,future,,496.60714285714283,519.7840873176427
2024-02-23,P0004,future,,496.60714285714283,512.744121803659
2024-02-24,P0004,future,,496.60714285714283,518.2654801956439
2024-02-25,P0004,future,,496.60714285714283,515.5758206617766
2024-02-26,P0004,future,,496.60714285714283,520.8975368710117
2024-02-27,P0004,future,,496.60714285714283,505.1821185176635
2024-01-03,P0009,val,360.0,541.1785714285714,524.1821333046777
2024-01-04,P0009,val,437.0,541.1785714285714,525.7017150740403
2024-01-05,P0009,val,415.0,541.1785714285714,526.7055595988654
2024-01-06,P0009,val,466.0,541.1785714285714,539.3483631824452
2024-01-07,P0009,val,278.0,541.1785714285714,519.8117007912068
2024-01-08,P0009,val,372.0,541.1785714285714,527.3589542928495
2024-01-09,P0009,val,516.0,541.1785714285714,527.5558458540021
2024-01-10,P0009,val,406.0,541.1785714285714,528.1989467224832
2024-01-11,P0009,val,589.0,541.1785714285714,529.4327806197223
2024-01-12,P0009,val,553.0,541.1785714285714,530.1466187635102
2024-01-13,P0009,val,606.0,541.1785714285714,542.4955156582334
2024-01-14,P0009,val,517.0,541.1785714285714,522.6614090366976
2024-01-15,P0009,val,389.0,541.1785714285714,529.9080476644899
2024-01-16,P0009,val,518.0,541.1785714285714,529.8015242989923
2024-01-17,P0009,val,635.0,541.1785714285714,530.1387840286413
2024-01-18,P0009,val,487.0,541.1785714285714,531.0647272185231
2024-01-19,P0009,val,439.0,541.1785714285714,531.4690040829994
2024-01-20,P0009,val,658.0,541.1785714285714,543.5070500230554
2024-01-21,P0009,val,633.0,541.1785714285714,523.3611851130089
2024-01-22,P0009,val,437.0,541.1785714285714,530.2955414480747
2024-01-23,P0009,val,426.0,541.1785714285714,529.8765956454328
2024-01-24,P0009,val,939.0,541.1785714285714,529.9016767249458
2024-01-25,P0009,val,416.0,541.1785714285714,530.5160685961511
2024-01-26,P0009,val,539.0,541.1785714285714,530.609804172774
2024-01-27,P0009,val,574.0,541.1785714285714,542.3387002529917
2024-01-28,P0009,val,545.0,541.1785714285714,521.8854565506315
2024-01-29,P0009,val,285.0,541.1785714285714,528.5145825893384
2024-01-30,P0009,val,464.0,541.1785714285714,527.7929297528964
2024-01-31,P0009,future,,496.39285714285717,529.6014646815897
2024-02-01,P0009,future,,496.39285714285717,526.1284843024447
2024-02-02,P0009,future,,496.39285714285717,526.0986045649944
2024-02-03,P0009,future,,496.39285714285717,540.4505158644877
2024-02-04,P0009,future,,496.39285714285717,517.4724264279291
2024-02-05,P0009,future,,496.39285714285717,519.0960999422101
2024-02-06,P0009,future,,496.39285714285717,521.2699393555182
2024-02-07,P0009,future,,496.39285714285717,525.564800168139
2024-02-08,P0009,future,,496.39285714285717,521.829243746291
2024-02-09,P0009,future,,496.39285714285717,521.5426098078202
2024-02-10,P0009,future,,496.39285714285717,535.6439046319676
2024-02-11,P0009,future,,496.39285714285717,512.4216448446981
